Temperature (°C ),W/C,RA_Type_enc,  Binder  (kg/m3),FA (kg/m3), CA (kg/m3),RA (kg/m3)
30,0.47,2,479,549.0,742.0,118.0
700,0.42,3,435,512.5725,1569.0,41.25
30,0.47,2,479,745.0,742.0,39.0
30,0.47,2,479,588.0,742.0,196.0
100,0.42,0,436,431.112,1550.0,106.26
800,0.42,3,435,323.73,1569.0,330.0
25,0.53,5,380,643.5,1020.0,71.5
800,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
30,0.51,6,295,698.0,1111.0,0.0
400,0.42,0,436,458.0565,1550.0,79.69500000000001
200,0.42,0,436,458.0565,1550.0,79.69500000000001
200,0.42,0,436,404.1675,1550.0,132.82500000000002
30,0.42,0,436,431.112,1550.0,106.26
800,0.42,3,435,431.64000000000004,1569.0,165.0
30,0.47,2,479,471.0,742.0,312.0
800,0.42,0,436,431.112,1550.0,106.26
600,0.42,0,436,323.334,1550.0,212.52
500,0.42,0,436,458.0565,1550.0,79.69500000000001
800,0.42,3,435,458.61750000000006,1569.0,123.75
100,0.42,3,435,404.6625,1569.0,206.25
30,0.42,3,435,539.5500000000001,1569.0,0.0
700,0.42,3,435,404.6625,1569.0,206.25
500,0.42,3,435,512.5725,1569.0,41.25
30,0.47,2,479,627.0,742.0,78.0
200,0.42,0,436,458.0565,1550.0,79.69500000000001
600,0.42,3,435,377.68499999999995,1569.0,247.5
500,0.42,3,435,323.73,1569.0,330.0
800,0.42,0,436,511.9455,1550.0,26.565
30,0.47,2,479,745.0,742.0,39.0
200,0.42,3,435,485.5950000000001,1569.0,82.5
30,0.47,2,479,745.0,742.0,39.0
250,0.5,4,450,720.0,940.0,21.0
30,0.51,6,295,628.0,1111.0,70.0
25,0.53,5,380,572.0,1020.0,143.0
400,0.42,3,435,431.64000000000004,1569.0,165.0
30,0.47,2,479,706.0,742.0,78.0
400,0.42,3,435,485.5950000000001,1569.0,82.5
700,0.42,3,435,350.70750000000004,1569.0,288.75
30,0.42,3,458,739.0,925.0,0.0
30,0.51,6,295,523.0,1111.0,175.0
30,0.47,2,479,549.0,742.0,235.0
30,0.42,3,458,613.0,935.0,108.0
30,0.47,2,479,745.0,742.0,19.5
200,0.42,0,436,538.89,1550.0,0.0
30,0.47,2,479,666.5,742.0,117.5
500,0.42,0,436,458.0565,1550.0,79.69500000000001
800,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,627.0,742.0,78.0
30,0.47,2,479,666.5,742.0,117.0
30,0.47,2,479,627.0,742.0,157.0
500,0.42,0,436,431.112,1550.0,106.26
500,0.42,3,435,404.6625,1569.0,206.25
200,0.42,3,435,323.73,1569.0,330.0
30,0.42,0,436,485.0010000000001,1550.0,53.13
100,0.42,0,436,485.0010000000001,1550.0,53.13
600,0.42,3,435,377.68499999999995,1569.0,247.5
30,0.42,0,436,404.1675,1550.0,132.82500000000002
700,0.42,0,436,538.89,1550.0,0.0
700,0.42,3,435,404.6625,1569.0,206.25
100,0.42,3,435,485.5950000000001,1569.0,82.5
400,0.42,0,436,458.0565,1550.0,79.69500000000001
25,0.53,5,380,679.25,1020.0,35.75
800,0.42,3,435,404.6625,1569.0,206.25
100,0.42,1,510,749.6999999999999,0.0,487.30499999999995
30,0.42,3,458,417.0,953.0,278.0
30,0.42,3,458,695.68,928.0,37.11
700,0.42,0,436,431.112,1550.0,106.26
500,0.42,3,435,539.5500000000001,1569.0,0.0
600,0.42,0,436,511.9455,1550.0,26.565
27,0.42,1,510,749.6999999999999,331.5,487.30499999999995
600,0.42,0,436,538.89,1550.0,0.0
100,0.42,3,435,377.68499999999995,1569.0,247.5
800,0.42,3,435,404.6625,1569.0,206.25
600,0.42,3,435,323.73,1569.0,330.0
30,0.42,0,436,485.0010000000001,1550.0,53.13
30,0.42,3,458,695.68,928.0,37.11
30,0.42,0,436,538.89,1550.0,0.0
30,0.47,2,479,549.0,742.0,235.0
30,0.47,2,479,745.0,742.0,39.0
30,0.47,2,479,666.5,742.0,117.5
600,0.42,0,436,431.112,1550.0,106.26
30,0.47,2,479,471.0,742.0,158.0
500,0.42,3,435,539.5500000000001,1569.0,0.0
30,0.42,0,436,538.89,1550.0,0.0
30,0.51,6,295,453.0,1111.0,245.0
25,0.53,5,380,643.5,1020.0,71.5
200,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
30,0.47,2,479,510.0,742.0,138.0
30,0.47,2,479,706.0,742.0,78.0
200,0.42,0,436,511.9455,1550.0,26.565
400,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
100,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
30,0.47,2,479,666.5,742.0,117.5
30,0.47,2,479,706.0,742.0,78.0
30,0.47,2,479,627.0,742.0,157.0
400,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,666.5,742.0,117.0
400,0.42,0,436,538.89,1550.0,0.0
400,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,745.0,742.0,19.5
400,0.42,0,436,404.1675,1550.0,132.82500000000002
500,0.42,3,435,377.68499999999995,1569.0,247.5
500,0.42,0,436,404.1675,1550.0,132.82500000000002
100,0.42,3,435,431.64000000000004,1569.0,165.0
30,0.42,3,435,323.73,1569.0,330.0
800,0.42,3,435,512.5725,1569.0,41.25
500,0.42,3,435,539.5500000000001,1569.0,0.0
600,0.42,0,436,511.9455,1550.0,26.565
25,0.53,5,380,607.75,1020.0,107.25
500,0.42,3,435,485.5950000000001,1569.0,82.5
200,0.42,3,435,350.70750000000004,1569.0,288.75
700,0.42,3,435,323.73,1569.0,330.0
200,0.42,3,435,512.5725,1569.0,41.25
400,0.42,3,435,512.5725,1569.0,41.25
500,0.42,0,436,323.334,1550.0,212.52
400,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.42,3,458,655.38,932.0,71.88
30,0.42,0,436,431.112,1550.0,106.26
600,0.42,3,435,512.5725,1569.0,41.25
30,0.47,2,479,588.0,742.0,196.0
100,0.42,3,435,323.73,1569.0,330.0
25,0.53,5,380,500.5,1020.0,214.5
25,0.53,5,380,500.5,1020.0,214.5
700,0.42,3,435,512.5725,1569.0,41.25
30,0.42,3,435,431.64000000000004,1569.0,165.0
600,0.42,3,435,404.6625,1569.0,206.25
700,0.42,3,435,539.5500000000001,1569.0,0.0
200,0.42,3,435,431.64000000000004,1569.0,165.0
500,0.42,0,436,485.0010000000001,1550.0,53.13
500,0.42,3,435,431.64000000000004,1569.0,165.0
800,0.42,0,436,458.0565,1550.0,79.69500000000001
700,0.42,0,436,458.0565,1550.0,79.69500000000001
200,0.42,0,436,323.334,1550.0,212.52
100,0.42,0,436,538.89,1550.0,0.0
30,0.42,3,458,573.0,939.0,143.0
200,0.42,3,435,458.61750000000006,1569.0,123.75
700,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
25,0.53,5,380,464.75,1020.0,250.25
30,0.47,2,479,784.0,742.0,0.0
25,0.53,5,380,679.25,1020.0,35.75
30,0.42,3,435,323.73,1569.0,330.0
200,0.42,3,435,539.5500000000001,1569.0,0.0
200,0.42,0,436,431.112,1550.0,106.26
800,0.42,0,436,485.0010000000001,1550.0,53.13
200,0.42,0,436,404.1675,1550.0,132.82500000000002
30,0.42,3,435,404.6625,1569.0,206.25
30,0.47,2,479,784.0,742.0,0.0
700,0.42,3,435,485.5950000000001,1569.0,82.5
200,0.42,3,435,539.5500000000001,1569.0,0.0
30,0.47,2,479,510.0,742.0,274.0
25,0.53,5,380,715.0,1020.0,0.0
30,0.47,2,479,627.0,742.0,157.0
200,0.42,0,436,511.9455,1550.0,26.565
500,0.42,3,435,350.70750000000004,1569.0,288.75
30,0.42,3,458,493.0,946.0,211.0
500,0.42,0,436,404.1675,1550.0,132.82500000000002
700,0.42,0,436,538.89,1550.0,0.0
600,0.42,3,435,539.5500000000001,1569.0,0.0
600,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.51,6,295,628.0,1111.0,70.0
600,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,549.0,742.0,235.0
500,0.42,0,436,511.9455,1550.0,26.565
30,0.42,3,458,493.0,946.0,211.0
800,0.42,0,436,511.9455,1550.0,26.565
30,0.51,6,295,523.0,1111.0,175.0
30,0.47,2,479,666.5,742.0,117.0
30,0.42,3,435,377.68499999999995,1569.0,247.5
700,0.42,3,435,512.5725,1569.0,41.25
600,0.42,3,435,323.73,1569.0,330.0
30,0.47,2,479,666.5,742.0,19.5
500,0.42,0,436,323.334,1550.0,212.52
700,0.42,0,436,431.112,1550.0,106.26
500,0.42,3,435,458.61750000000006,1569.0,123.75
100,0.42,0,436,431.112,1550.0,106.26
30,0.42,3,435,512.5725,1569.0,41.25
500,0.42,0,436,404.1675,1550.0,132.82500000000002
200,0.42,3,435,404.6625,1569.0,206.25
600,0.42,3,435,458.61750000000006,1569.0,123.75
600,0.42,3,435,404.6625,1569.0,206.25
30,0.47,2,479,588.0,742.0,58.5
30,0.42,3,458,573.0,939.0,143.0
400,0.42,3,435,350.70750000000004,1569.0,288.75
700,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
400,0.42,1,510,749.6999999999999,0.0,487.30499999999995
600,0.42,3,435,512.5725,1569.0,41.25
30,0.47,2,479,549.0,742.0,118.0
400,0.42,3,435,377.68499999999995,1569.0,247.5
30,0.42,0,436,511.9455,1550.0,26.565
100,0.42,3,435,323.73,1569.0,330.0
600,0.42,0,436,458.0565,1550.0,79.69500000000001
30,0.42,3,435,458.6175,1569.0,123.75
30,0.42,0,436,404.1675,1550.0,132.82500000000002
100,0.42,0,436,511.9455,1550.0,26.565
30,0.42,0,436,458.0565,1550.0,79.69500000000001
100,0.42,3,435,512.5725,1569.0,41.25
30,0.42,0,436,431.112,1550.0,106.26
800,0.42,0,436,485.0010000000001,1550.0,53.13
400,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
200,0.42,0,436,431.112,1550.0,106.26
200,0.42,3,435,404.6625,1569.0,206.25
100,0.42,0,436,404.1675,1550.0,132.82500000000002
700,0.42,0,436,323.334,1550.0,212.52
200,0.42,3,435,350.70750000000004,1569.0,288.75
30,0.42,3,435,350.70750000000004,1569.0,288.75
30,0.47,2,479,745.0,742.0,39.0
700,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.51,6,295,418.0,1111.0,279.0
800,0.42,3,435,512.5725,1569.0,41.25
400,0.42,0,436,431.112,1550.0,106.26
700,0.42,0,436,404.1675,1550.0,132.82500000000002
800,0.42,3,435,458.61750000000006,1569.0,123.75
600,0.42,3,435,350.70750000000004,1569.0,288.75
500,0.42,0,436,431.112,1550.0,106.26
400,0.42,0,436,485.0010000000001,1550.0,53.13
100,0.42,0,436,431.112,1550.0,106.26
200,0.42,1,510,749.6999999999999,0.0,487.30499999999995
400,0.42,3,435,485.5950000000001,1569.0,82.5
600,0.42,0,436,485.0010000000001,1550.0,53.13
700,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
500,0.42,3,435,458.61750000000006,1569.0,123.75
200,0.42,0,436,485.0010000000001,1550.0,53.13
400,0.42,3,435,377.68499999999995,1569.0,247.5
200,0.42,3,435,350.70750000000004,1569.0,288.75
30,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
700,0.42,3,435,539.5500000000001,1569.0,0.0
400,0.42,0,436,431.112,1550.0,106.26
100,0.42,0,436,511.9455,1550.0,26.565
800,0.42,3,435,377.68499999999995,1569.0,247.5
100,0.42,0,436,458.0565,1550.0,79.69500000000001
100,0.42,0,436,538.89,1550.0,0.0
800,0.42,0,436,323.334,1550.0,212.52
200,0.42,3,435,458.6175,1569.0,123.75
600,0.42,3,435,350.70750000000004,1569.0,288.75
100,0.42,3,435,512.5725,1569.0,41.25
600,0.42,0,436,323.334,1550.0,212.52
500,0.42,0,436,431.112,1550.0,106.26
30,0.47,2,479,471.0,742.0,158.0
30,0.42,3,458,613.0,935.0,108.0
30,0.42,0,436,404.1675,1550.0,132.82500000000002
800,0.42,3,435,458.61750000000006,1569.0,123.75
700,0.42,3,435,458.61750000000006,1569.0,123.75
600,0.42,3,435,512.5725,1569.0,41.25
30,0.51,6,295,698.0,1111.0,0.0
30,0.47,2,479,627.0,742.0,157.0
30,0.42,0,436,323.334,1550.0,212.52
30,0.47,2,479,549.0,742.0,118.0
200,0.42,3,435,377.68499999999995,1569.0,247.5
30,0.42,0,436,538.89,1550.0,0.0
400,0.42,3,435,350.70750000000004,1569.0,288.75
25,0.53,5,380,715.0,1020.0,0.0
30,0.51,6,295,418.0,1111.0,279.0
200,0.42,0,436,404.1675,1550.0,132.82500000000002
500,0.42,0,436,538.89,1550.0,0.0
30,0.47,2,479,706.0,742.0,78.0
30,0.47,2,479,706.0,742.0,78.0
500,0.42,0,436,350.27850000000007,1550.0,185.95499999999998
600,0.42,3,435,377.68499999999995,1569.0,247.5
800,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
200,0.42,0,436,431.112,1550.0,106.26
400,0.42,3,435,404.6625,1569.0,206.25
100,0.42,0,436,377.22299999999996,1550.0,159.39000000000001
30,0.42,3,458,533.0,942.0,178.0
800,0.42,0,436,323.334,1550.0,212.52
200,0.42,3,435,485.5950000000001,1569.0,82.5
100,0.42,3,435,377.68499999999995,1569.0,247.5
30,0.47,2,479,471.0,742.0,313.0
24,0.5,4,450,682.0,940.0,28.0
400,0.42,3,435,431.64000000000004,1569.0,165.0
100,0.42,0,436,485.0010000000001,1550.0,53.13
30,0.47,2,479,627.0,742.0,157.0
30,0.51,6,295,698.0,1111.0,0.0
600,0.42,0,436,404.1675,1550.0,132.82500000000002
800,0.42,3,435,377.68499999999995,1569.0,247.5
300,0.42,1,510,749.6999999999999,0.0,487.30499999999995
25,0.53,5,380,572.0,1020.0,143.0
100,0.42,3,435,404.6625,1569.0,206.25
300,0.42,1,510,749.6999999999999,0.0,487.30499999999995
600,0.42,3,435,485.5950000000001,1569.0,82.5
30,0.42,3,435,458.61750000000006,1569.0,123.75
700,0.42,0,436,485.0010000000001,1550.0,53.13
400,0.42,0,436,511.9455,1550.0,26.565
30,0.47,2,479,510.0,742.0,273.0
